scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,deletion_percent,deletion_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.15,random,300,0.08333333333333333,0.32,0.02666666666666667,0.16666666666666666,0.8066666666666666,6.746666666666667,0.0,2.830769512042698
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.15,start,300,0.9433333333333334,0.9787985865724381,0.9233333333333333,0.043333333333333335,0.03333333333333333,0.47,0.0,6.7065511731758125
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.2,end,300,0.9066666666666666,0.9779411764705882,0.8866666666666667,0.06,0.05333333333333334,0.7066666666666667,0.0,6.145191257062314
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.2,middle,300,0.9066666666666666,0.9632352941176471,0.8733333333333333,0.05333333333333334,0.07333333333333333,0.79,0.0,6.081992192713611
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.2,random,300,0.016666666666666666,0.0,0.0,0.02,0.98,7.68,0.0,2.0559178187356624
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.2,start,300,0.9433333333333334,0.9752650176678446,0.92,0.03666666666666667,0.043333333333333335,0.5033333333333333,0.0,6.515519875640993
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.05,end,300,0.9066666666666666,0.9779411764705882,0.8866666666666667,0.04,0.07333333333333333,0.6133333333333333,0.0,6.62122078030536
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.05,middle,300,0.9,0.9666666666666667,0.87,0.04,0.09,0.65,0.0,6.552018508251156
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.05,random,300,0.7833333333333333,0.902127659574468,0.7066666666666667,0.07666666666666666,0.21666666666666667,1.68,0.0,5.136912321133414
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.05,start,300,0.91,0.9816849816849816,0.8933333333333333,0.05,0.056666666666666664,0.5333333333333333,0.0,6.833666570490823
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.1,end,300,0.8933333333333333,0.9701492537313433,0.8666666666666667,0.056666666666666664,0.07666666666666666,0.68,0.0,6.41246066460739
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.1,middle,300,0.8833333333333333,0.969811320754717,0.8566666666666667,0.05333333333333334,0.09,0.7133333333333334,0.0,6.354491249786217
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.1,random,300,0.26666666666666666,0.6625,0.17666666666666667,0.29333333333333333,0.53,4.376666666666667,0.0,3.8099102811147336
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.1,start,300,0.9033333333333333,0.985239852398524,0.89,0.04666666666666667,0.06333333333333334,0.5733333333333334,0.0,6.716577854726032
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.15,end,300,0.8866666666666667,0.9661654135338346,0.8566666666666667,0.05333333333333334,0.09,0.78,0.0,6.209517531433028
hierarchical,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.15,middle,300,0.87,0.9693486590038314,0.8433333333333334,0.056666666666666664,0.1,0.82,0.0,6.154590578900254
